date,actual_price,lstm_predicted_price
2021-12-21,48936.61328125,46037.727
2021-12-22,48628.51171875001,46042.13
2021-12-23,50784.5390625,46137.94
2021-12-24,50822.1953125,46419.49
2021-12-25,50429.859375,46813.754
2021-12-26,50809.51562499999,47244.266
2021-12-27,50640.41796875001,47699.297
2021-12-28,47588.85546875,48134.43
2021-12-29,46444.7109375,48353.477
2021-12-30,47178.125,48351.32
2021-12-31,46306.4453125,48239.918
2022-01-01,47686.8125,48006.18
2022-01-02,47345.21875,47784.703
2022-01-03,46458.1171875,47562.176
2022-01-04,45897.57421875,47304.082
2022-01-05,43569.00390625001,47007.65
2022-01-06,43160.9296875,46570.594
2022-01-07,41557.90234375,46044.55
2022-01-08,41733.94140625,45397.246
2022-01-09,41911.6015625,44717.758
2022-01-10,41821.26171875,44064.71
2022-01-11,42735.85546875,43463.516
2022-01-12,43949.1015625,42984.68
2022-01-13,42591.5703125,42684.137
2022-01-14,43099.69921874999,42450.754
2022-01-15,43177.3984375,42309.07
2022-01-16,43113.87890625,42242.613
2022-01-17,42250.55078125,42229.21
2022-01-18,42375.6328125,42207.215
2022-01-19,41744.328125,42188.754
2022-01-20,40680.41796875,42139.344
2022-01-21,36457.31640625,42015.14
2022-01-22,35030.25,41620.676
2022-01-23,36276.8046875,40992.37
2022-01-24,36654.328125,40305.176
2022-01-25,36954.00390625,39635.305
2022-01-26,36852.12109375,39034.074
2022-01-27,37138.234375,38512.266
2022-01-28,37784.33203125,38092.355
2022-01-29,38138.1796875,37801.355
2022-01-30,37917.6015625,37635.6
2022-01-31,38483.125,37556.363
2022-02-01,38743.2734375,37571.453
2022-02-02,36952.984375,37664.973
2022-02-03,37154.6015625,37717.086
2022-02-04,41500.87499999999,37747.83
2022-02-05,41441.1640625,37983.098
2022-02-06,42412.43359375,38346.938
2022-02-07,43840.28515625,38835.477
2022-02-08,44118.4453125,39460.844
2022-02-09,44338.796875,40163.332
2022-02-10,43565.11328125,40893.254
2022-02-11,42407.9375,41559.273
2022-02-12,42244.46875,42079.53
2022-02-13,42197.515625,42458.36
2022-02-14,42586.91796875,42712.652
2022-02-15,44575.203125,42886.273
2022-02-16,43961.859375,43101.953
2022-02-17,40538.01171875,43299.855
2022-02-18,40030.9765625,43288.89
2022-02-19,40122.15625,43109.465
2022-02-20,38431.37890625,42825.977
2022-02-21,37075.28125,42393.887
2022-02-22,38286.02734375,41813.445
2022-02-23,37296.5703125,41229.14
2022-02-24,38332.609375,40621.473
2022-02-25,39214.21875,40088.953
2022-02-26,39105.1484375,39684.09
2022-02-27,37709.78515625,39385.78
2022-02-28,43193.234375,39107.082
2022-03-01,44354.63671875,39142.79
2022-03-02,43924.1171875,39454.848
2022-03-03,42451.7890625,39924.547
2022-03-06,38748.1484375,40401.613
