date,sarima_forecast
2022-03-07,39115.910230879585
2022-03-08,38697.562147767174
2022-03-09,38106.05213291141
2022-03-10,38175.23590987802
2022-03-11,38148.34209922585
2022-03-12,36854.17893518869
2022-03-13,36959.62301136682
2022-03-14,38213.93647837177
2022-03-15,37780.305278334374
2022-03-16,37707.601095538754
2022-03-17,37812.014185555825
2022-03-18,37220.647384930606
2022-03-19,37300.23828810456
2022-03-20,37149.44679282995
2022-03-21,36486.112392456875
2022-03-22,36712.73873828385
2022-03-23,36822.309087855894
2022-03-24,35716.043593379334
2022-03-25,35585.48038027041
2022-03-26,37499.67143690073
2022-03-27,37313.04812210873
2022-03-28,37185.517416644536
2022-03-29,37043.947770363324
2022-03-30,35968.66505397817
2022-03-31,36092.801254216436
2022-04-01,35900.58383553687
2022-04-02,35248.277398718026
2022-04-03,35450.507487669696
2022-04-04,35538.76644111821
2022-04-05,34403.31213305256
